study_id,outcome_id,title,year,authors,outcome_name,outcome_dimension,blooms_level,n_treatment,n_control,m_treatment,sd_treatment,m_control,sd_control,hedges_g,se_g,ci_lower,ci_upper,cohens_d,t_value,f_value,p_value,eta_squared,effect_source,extraction_method,effect_direction,flag,study_design,genai_tool,measure_type,measure_instrument,source,reliability,review_needed,extraction_status,age_mean,age_sd,age_min,age_max,age_text,gpa_mean,gpa_sd,gpa_text,gender_female_n,gender_male_n,gender_female_pct,gender_male_pct,gender_other_pct,gender_text,screening_source,effect_type,effect_value,outcome_type,doi,note,confidence,meta_pdf_path,age_mean_control,age_mean_treatment,age_sd_control,age_sd_treatment,baseline_age_p,baseline_age_t,baseline_gender_chi2,baseline_gender_p,baseline_gpa_p,baseline_gpa_t,extraction_confidence,gender_female_n_control,gender_female_n_treatment,gender_male_n_control,gender_male_n_treatment,gpa_mean_control,gpa_mean_treatment,gpa_sd_control,gpa_sd_treatment,grade_level_control,grade_level_treatment,group_label_control,group_label_treatment,notes,program_type_control,program_type_treatment
4,004_02,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Ease of Use - Arm 2,affective,not_reported,20.0,20.0,4.2,0.92,3.0,1.33,1.0285,0.3365,0.369,1.6881,1.0494,,,0.03,,calculated_from_table,table_ocr,not_reported,not_reported,not_reported,not_reported,post-test,5-point Likert scale questionnaire,OpenAlex,not_reported,not_reported,not_reported,,,,,not_reported,,,not_reported,,,,,,not_reported,manual_screening,,,,10.20944/preprints202506.1254.v1,,,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/004_Isaac_2025_AI_Chatbots_in_Medical_Education_Explori.pdf,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,
4,004_03,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Satisfaction - Arm 1,affective,not_reported,20.0,20.0,4.0,0.94,2.7,0.84,1.4294,0.3543,0.7349,2.1239,1.4584,,,0.03,,calculated_from_table,table_ocr,not_reported,not_reported,not_reported,not_reported,post-test,5-point Likert scale questionnaire,OpenAlex,not_reported,not_reported,not_reported,,,,,not_reported,,,not_reported,,,,,,not_reported,manual_screening,,,,10.20944/preprints202506.1254.v1,,,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/004_Isaac_2025_AI_Chatbots_in_Medical_Education_Explori.pdf,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,
4,004_04,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Satisfaction - Arm 2,affective,not_reported,20.0,20.0,3.8,1.03,3.8,1.03,0.0,0.3162,-0.6198,0.6198,0.0,,,0.04,,calculated_from_table,table_ocr,not_reported,not_reported,not_reported,not_reported,post-test,5-point Likert scale questionnaire,OpenAlex,not_reported,not_reported,not_reported,,,,,not_reported,,,not_reported,,,,,,not_reported,manual_screening,,,,10.20944/preprints202506.1254.v1,,,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/004_Isaac_2025_AI_Chatbots_in_Medical_Education_Explori.pdf,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,
4,004_05,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Quality of Information - Arm 1,cognitive,evaluate,20.0,20.0,4.3,0.48,3.2,0.79,1.6494,0.3661,0.9319,2.3669,1.6829,,,0.05,,calculated_from_table,table_ocr,not_reported,not_reported,not_reported,not_reported,post-test,5-point Likert scale questionnaire,OpenAlex,not_reported,not_reported,not_reported,,,,,not_reported,,,not_reported,,,,,,not_reported,manual_screening,,,,10.20944/preprints202506.1254.v1,,,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/004_Isaac_2025_AI_Chatbots_in_Medical_Education_Explori.pdf,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,
4,004_06,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Quality of Information - Arm 2,cognitive,evaluate,20.0,20.0,4.2,0.92,3.2,0.79,1.1431,0.3411,0.4745,1.8116,1.1662,,,0.05,,calculated_from_table,table_ocr,not_reported,not_reported,not_reported,not_reported,post-test,5-point Likert scale questionnaire,OpenAlex,not_reported,not_reported,not_reported,,,,,not_reported,,,not_reported,,,,,,not_reported,manual_screening,,,,10.20944/preprints202506.1254.v1,,,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/004_Isaac_2025_AI_Chatbots_in_Medical_Education_Explori.pdf,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,
4,004_07,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Ease of Understanding - Arm 1,cognitive,understand,20.0,20.0,4.4,0.97,3.0,1.33,1.1789,0.3426,0.5074,1.8503,1.2027,,,0.01,,calculated_from_table,table_ocr,not_reported,not_reported,not_reported,not_reported,post-test,5-point Likert scale questionnaire,OpenAlex,not_reported,not_reported,not_reported,,,,,not_reported,,,not_reported,,,,,,not_reported,manual_screening,,,,10.20944/preprints202506.1254.v1,,,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/004_Isaac_2025_AI_Chatbots_in_Medical_Education_Explori.pdf,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,
4,004_08,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Ease of Understanding - Arm 2,cognitive,understand,20.0,20.0,4.4,0.84,2.0,0.82,2.8339,0.4476,1.9565,3.7113,2.8914,,,0.01,,calculated_from_table,table_ocr,not_reported,not_reported,not_reported,not_reported,post-test,5-point Likert scale questionnaire,OpenAlex,not_reported,not_reported,not_reported,,,,,not_reported,,,not_reported,,,,,,not_reported,manual_screening,,,,10.20944/preprints202506.1254.v1,,,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/004_Isaac_2025_AI_Chatbots_in_Medical_Education_Explori.pdf,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,
4,004_09,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Engagement - Arm 1,affective,not_reported,20.0,20.0,3.6,0.97,2.7,0.82,0.9822,0.3348,0.3261,1.6383,1.0021,,,0.01,,calculated_from_table,table_ocr,not_reported,not_reported,not_reported,not_reported,post-test,5-point Likert scale questionnaire,OpenAlex,not_reported,not_reported,not_reported,,,,,not_reported,,,not_reported,,,,,,not_reported,manual_screening,,,,10.20944/preprints202506.1254.v1,,,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/004_Isaac_2025_AI_Chatbots_in_Medical_Education_Explori.pdf,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,
4,004_10,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Engagement - Arm 2,affective,not_reported,20.0,20.0,4.2,0.63,3.2,0.82,1.3404,0.3499,0.6546,2.0263,1.3676,,,0.005,,calculated_from_table,table_ocr,not_reported,not_reported,not_reported,not_reported,post-test,5-point Likert scale questionnaire,OpenAlex,not_reported,not_reported,not_reported,,,,,not_reported,,,not_reported,,,,,,not_reported,manual_screening,,,,10.20944/preprints202506.1254.v1,,,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/004_Isaac_2025_AI_Chatbots_in_Medical_Education_Explori.pdf,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,
4,004_11,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Task 1 Performance - Arm 1 vs Arm 2,cognitive,apply,20.0,20.0,71.43,15.06,54.29,23.13,0.8608,0.3305,0.2129,1.5086,0.8782,,,0.065,,calculated_from_table,table_ocr,not_reported,not_reported,not_reported,not_reported,post-test,Single Best Answer (SBA) questions,OpenAlex,not_reported,not_reported,not_reported,,,,,not_reported,,,not_reported,,,,,,not_reported,manual_screening,,,,10.20944/preprints202506.1254.v1,,,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/004_Isaac_2025_AI_Chatbots_in_Medical_Education_Explori.pdf,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,
4,004_12,"AI Chatbots in Medical Education: Exploring Performance, Utility, and Learner Perceptions – A Mixed Methods Study",2025.0,Isaac Sung Him Ng; Anthony Siu; Chul Hwan Han; Oscar Sing Him Ho; Jonathan Sun; Anatoliy Markiv; Stuart Knight; Mandeep Gill Sagoo,Task 2 Performance - Arm 2 vs Arm 1,cognitive,apply,20.0,20.0,63.33,18.92,68.33,26.59,-0.2124,0.3171,-0.8339,0.4092,-0.2167,,,0.634,,calculated_from_table,table_ocr,not_reported,not_reported,not_reported,not_reported,post-test,Single Best Answer (SBA) questions,OpenAlex,not_reported,not_reported,not_reported,,,,,not_reported,,,not_reported,,,,,,not_reported,manual_screening,,,,10.20944/preprints202506.1254.v1,,,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/004_Isaac_2025_AI_Chatbots_in_Medical_Education_Explori.pdf,19.05,,1.47,,,,,,,,high,13.0,,7.0,,,,,,,,Traditional,AI Chatbot,"Crossover design with all 20 participants experiencing both conditions. Overall demographics: mean age 19.05 (SD=1.47), 13 female/7 male, 80% had prior chatbot experience. From Results section page 8.",Medical students,
5,005_01,ChatGPT for Operating Systems: Higher-Order Thinking in Focus,2025.0,Mohammed Ahmed Kofahi; A. Husain,HOT tasks performance,cognitive,analyze,23.0,30.0,28.74,9.896,23.1,8.486,0.6092,0.2834,0.0538,1.1647,0.6184,,4.977,0.03,0.089,calculated_from_table,table_ocr,not_reported,not_reported,not_reported,not_reported,post-test,HOT test,OpenAlex,not_reported,not_reported,not_reported,,,,,not_reported,,,not_reported,,,,,,not_reported,manual_screening,none,,cognitive,10.28945/5382,,,/Volumes/External SSD/Projects/Research/GenAI_Effectiveness/ScholaRAG/projects/2025-12-05_GenAI-Learning-Effects-Meta/data/07_meta_analysis/pdfs/005_Mohammed_2025_ChatGPT_for_Operating_Systems_Higher-Ord.pdf,,,,,,,,,,,high,13.0,18.0,10.0,12.0,,,,,,,Control,Experimental,"Table 1 shows participant demographics by group. 53 undergraduate students from OS course at al-Bayt University in Jordan, 2022-2023. Control group (n=23): 10 male, 13 female. Experimental group (n=30): 12 male, 18 female.",undergraduate,undergraduate
